facebook.com,157.240.19.35
youtube.com,172.217.2.14
yahoo.com,206.190.39.42
live.com,204.79.197.212
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,111.13.101.208
blogspot.com,172.217.2.9
microsoft.com,104.40.211.35
qq.com,61.135.157.156
taobao.com,140.205.94.189
bing.com,204.79.197.200
sina.com.cn,202.108.33.107
soso.com,118.191.216.42
163.com,123.58.180.8
ask.com,23.61.183.77
adobe.com,192.147.130.20
twitter.com,104.244.42.129
mozilla.com,63.245.213.17
youku.com,106.11.47.19
sdjjdsaf.com,
amazon.com,205.251.242.10
ifeng.com,210.51.19.63
andysayler.com,162.243.49.20
wordpress.com,192.0.78.9
goo.ne.jp,153.254.147.65
wmfo.org,23.92.21.128
tudou.com,106.11.186.1
bbc.co.uk,151.101.0.81
yahoo.co.jp,183.79.135.206
yandex.ru,77.88.55.55
sohu.com,123.125.116.16
myspace.com,63.135.90.70
apple.com,17.178.96.59
mail.ru,217.69.139.201
hao123.com,61.135.162.10
cnet.com,64.30.228.118
windows.com,104.43.195.251
go.com,23.236.60.174
ebay.com,66.211.160.86
4399.com,118.184.184.70
pps.tv,101.227.188.17
orkut.com,216.239.32.21
xunlei.com,119.188.108.24
skype.com,40.115.34.155
56.com,221.5.34.99
ameblo.jp,96.6.81.164
fc2.com,52.33.182.156
naver.com,125.209.222.14
paypal.com,64.4.250.32
flickr.com,69.147.88.7
sogou.com,118.191.216.57
4shared.com,204.155.149.41
tmall.com,140.205.94.193
amazon.co.jp,52.119.161.5
ku6.com,117.50.1.222
linkedin.com,108.174.10.10
rakuten.co.jp,133.237.61.176
dailymotion.com,195.8.215.136
about.com,151.101.129.12
imdb.com,52.94.225.248
orkut.com.br,
aol.com,64.12.249.135
hotmail.com,204.79.197.212
360.cn,101.198.193.22
craigslist.org,208.82.237.129
weather.com,23.7.83.119
soku.com,106.11.186.1
alibaba.com,205.204.101.42
megaupload.com,
renren.com,103.235.252.23
livedoor.jp,125.6.149.67
blogger.com,172.217.11.233
vkontakte.ru,95.213.4.229
answers.com,192.41.64.63
rapidshare.com,10.11.12.13
daum.net,203.133.167.81
7k7k.com,115.182.59.140
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.8
ehow.com,23.227.11.12
seesaa.net,13.33.251.43
paipai.com,
alipay.com,110.75.139.5
softonic.com,46.28.209.62
nifty.com,222.158.213.14
imageshack.us,208.94.3.19
cnn.com,151.101.129.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
partypoker.com,185.37.77.41
hp.com,15.72.164.74
walmart.com,161.170.239.17
kugou.com,14.18.236.182
ebay.de,66.211.181.20
youdao.com,61.135.218.27
hotfile.com,199.184.144.15
qiyi.com,101.227.188.17
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.155.13
jp.msn.com,13.88.15.24
