,tweets
0,Florida Fights Zika by Killing Mosquitoes: The state of Florida has added aerial spraying to its efforts to contain… https://t.co/AGxBMylLMw
1,@MangenaHillary @GutuObert @sanderzmak @Mathuthu @ProfJNMoyo What did he say on his government plan on Zika as first case is reported in RSA
2,Wynwood. Zika. 🙄 RT @FiveThirtyEight: Zika has found its way to Florida mosquitoes: https://t.co/gxumUblmL3 https://t.co/WZKwjCLXu6
3,1day its Zika can cause birth defects transmitted by mosquito's. 2 weeks later its upgraded to 'Oh. U can get it from sex too' WTF!?!?!?
4,'@haley_myers1do you have mosquitos in your back yard? I need a flash light!'Abby after working at the CDC studying studying zika all summer
5,Billboard attracts and kills Zika-spreading mosquitos while educating the public on its dangers https://t.co/89T59UxtSD
6,Wouldn't be surprised if I had Zika virus with the amount of mosquito bites I have on my body
7,"In its decision, the World Health Organization highlighted the seriousness of the Zika outbreak, a mosquito-borne virus thought to cause"
8,If I don't die from the #ZikaVirus in Brazil I'll definitely die from accidentally rubbing repellent on my mouth. https://t.co/4BXRTvDKjL
9,"'The #Zika virus may spread in sweat and tears in some cases,... The case of a Utah man who infected his adult... https://t.co/E7cEEZqaky"
10,"My latest today for @guardian: #Brazil should address #Zika virus as an #STD outbreak, researchers say https://t.co/Wj0wIRnKhE"
11,Zika spraying kills millions of honeybees; some ‘poisoned trying to drag out their dead’ https://t.co/TqZaMj0Qgv
12,"@gwendolbowling @SusanDanzig219 @suesista @MackayIM @WHO Aft rain, puddles everywhere. My birdbath mosquito free; others, not. #ZikaVirus"
13,"@AdamNeira #zika is transmitted by mosquitos most #cmv is transmitted by human interaction , woman cant spray off their toddlers"
14,"So, I just spray Off! on my crotch? #Zika"
15,Learn how our Strategic National Stockpile is helping pregnant women protect themselves from Zika: https://t.co/SeVjYTEHPk
16,Mosquito my a**: Zika Virus® was PATENTED by Rockefeller Foundation in 1... https://t.co/dfmf6htjyU via @YouTube
17,"“Our residents will play an important role in helping prevent the spread of the #Zika virus,” says Dr. Armstrong. #ZikaPrep"
18,"So, these GM mosquitoes deployed in Brazil to fight dengue fever - why  their offspring due before reaching maturity? #Zika"
19,Teach your kids that mosquito bites are bad with the CDC’s #Zika activity book. https://t.co/VUoMXzeWQ2 https://t.co/DOMmWeclBI
20,"Good to know tips from pediatrician Rhonda Patt when it comes to mosquitoes, Zika &amp; our kiddos. https://t.co/AOpROiuI1i"
21,Are you knowledgeable on bio-sciences @thunderf00t? Like what are your thoughts of using a GMO mosquito to fight against zika virus/bugs?
