,tweets
0,Got bit by a mosquito today and it's alittle bigger than usual. My eye hurts. And I have a headache. I swear to god if this is zika
1,And Zika threatens to rapidly spread around the world via athletes traveling. Maybe we should postpone or cancel? https://t.co/VocxeCeiCI
2,Zika virus: U.S. Health officials confirm first case spread through sex: American health officials in Texas say they’ve confirmed wha...
3,THE ZIKA VIRUS IS HERE!!!  WHAT ARE YOU DOING TO PROTECT YOURSELF AND YOUR FAMILY??? As I listened to the news... https://t.co/eqm8N7pVRV
4,Montgomery County officials urge residents to protect themselves against Zika virus ---&gt; https://t.co/vWMyFhUgDK
5,"LOL my mom is worried about the Zika Mosquitos and told me I need shots before Thailand, because I'm allergic to mosquitos 😂😂@BrianaFoster_"
6,@thebballqueen @FL_Chelle @SabrinaSiddiqui please understand how difficult it is for me not to be sarcastic here. Suffice to say Zika=news
7,me: 'mom i got two mosquito bites i have zika virus.' mom: 'you'll know'
8,It was a #Zika mosquito trying to attack #DumpTrump even the insect's🐝 R OUT to join the rethugs against #NaziTrump https://t.co/DIN032k3cx
9,@LaMiaCaraJewels Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
10,The first rule is to shield yourself against mosquito bites in order to prevent Zika virus infection. https://t.co/ANLBVGCIfJ
11,@Recode are those the selfies  where they can say ... that was me before Zika
12,.@Oxitec Created a #GMO Mosquito That Plummets #Zika-Carrying Populations - But Is It Safe? https://t.co/APft3sUELo https://t.co/ByDw46rI6M
13,Should You Take Your Kids To A Zika Zone? Travel With Caution: As fears surrounding the spread of the Z... https://t.co/Gb87PR5osT #gyto
14,.@GOP @SpeakerRyan @McConnellPress Basically GOP position #Zika outbreak is:  pray.  Because you guys won't fund health.
15,The U.S. Can't really say shit about Brasil considering how they are handling the Zika outbreak in Florida
16,"First Zika case has in Connecticut has been reported. As we move closer to mosquito season,  should we be concerned… https://t.co/iBAPILGax5"
17,The CDC is warning pregnant women to avoid an area of Miami where it believes mosquitoes may be transmitting Zika: https://t.co/NDwnBsb4e8
18,Ed McCabe March of Dimes: we know exactly how to prevent Zika from causing birth defects. Protect pregnant women from bug bites #ZikaSummit
19,By the time y'all find out abt the #ZikaVirus it's gonna be too late 😒 It's a #GMO mosquito
20,Zika: How to protect yourself from the mosquito-borne virus #WorldNews https://t.co/Ud7AI88rLM
21,Genetically modified mosquitos could end the Zika crisis. So why are we so afraid of them? https://t.co/yL8vyhwEIR via @TheRealFuture
