,tweets
0,"#Zika is crossing US borders. Build a net, string it high and make the mosquitos pay for it!"
1,Why you can’t just wipe out #Mosquitoes  to get rid of the #ZikaVirus  https://t.co/zMOw7lufoK
2,"With no evidence that its mosquitoes can reduce transmission of any disease, Zika, dengue or otherwise https://t.co/DsHT8bl81v"
3,"@HuffPostWomen hope they don't catch zika,or are mosquitoes racist to."
4,Acting like they just didn't kill millions of honey bees with the Zika virus spray https://t.co/9JUXur0MlY
5,“Like It’s Been Nuked” — Millions of Bees Dead After Zika Spraying in South Carolina (with video) https://t.co/PccOjof36i via @ItOffishul
6,Check out my new blog post: Mosquito Repellant Sales Boom in Brazil Amid Zika Scare by REUTERS https://t.co/w7w4fAlOJo
7,"Our job is to to protect pregnant woman, Gov. Rick Scott says at Zika roundtable in Naples. #zika"
8,A new Mosquito-borne disease is hitting the world. We still have not conquered Dengue and now there is #ZikaVirus https://t.co/NSs9v5Mz9S
9,"#Pregnant women, avoid traveling to #Zika-affected areas! If you must travel, here's how to prevent mosquito bites: https://t.co/dGPmanRoLD"
10,@realDonaldTrump donald when will you build a wall we need wall to stop migration infecting american mosquitoes with zika virus
11,@JohnLothe @RT_com @mediamonarchy But they both go hand in hand-Climate causes mosquito's causes Zika+on steroids  https://t.co/FCCxBF7uqx
12,A look at what tools we have to combat mosquitoes &amp; #Zika https://t.co/kAPhH5ellh @NBCNews
13,Im goibg to get both West Nile and Zika with how many mosquitos are biting me.
14,How about you start earning the high wages we pay you and get this done @SpeakerRyan stop the BS https://t.co/2ozojmtOxQ
15,with zika specifically being spread from carriers by mosquito why aren't we focusing on mosquito control or limitation without chemicals
16,Clean up your yard to prevent #mosquito breeding grounds &amp; protect your family from #Zika! https://t.co/Nnn3z6pmXD  #CHA CALL 517-PEST
17,@rickritterwjz  Use mosquito repellent and the netting.  They're reporting Zika.
18,"Fetus' may not be the only people affected by the the Zika virus. Nxt, Why scientists say it may be more dangerous than they thought. #GMR8"
19,Gov. @LarryHogan has proclaimed it #Zika Awareness Week. For info about reducing mosquitoes: https://t.co/GO7RkJ7e3c https://t.co/ar7ivHTMBG
20,"Today I would like to give a standing ovation to mosquitoes. From malaria, yellow fever, zika virus and now  chikungunya virus! #cheers!"
21,Now they are saying that the Zika virus is sexually transmittable. What kind of pervert is having sex with a mosquito?
22,Protect yourself from the Zika virus: https://t.co/erNg5IGR3m https://t.co/7EJWplc2Ii
23,#ZIKA GM mosquitoes will not do the trick re. Zika. Like a drop of water in a swimming pool. They will quickly get overwhelmed.
24,What are these dancing mosquitos? Are they doing a tribute to Zika virus? #OpeningCeremony
25,Was just reading zika symptoms and of course I (the girl who is constantly eaten up by mosquitoes) have a weird rash thing on my neck.
26,I just wonder if there's a handsome pilot type around that would go get Froyo for me? Since I'm afraid to go out with Zika mosquitos  😇🍧
27,@senrobportman Why would you say that and admit how clueless you are? This wasn't mysterious. #DoYourJob Fund Zika efforts. Vote on Garland
28,#ZikaVirus is dangerous. Do your part to decrease the mosquito population. Drain &amp; Cover! Use repellent! #NassauFLEM https://t.co/h2OGL4lps7
29,"Z, #ZikaVirus - the threat grows each day But #GOP figures they'll pray it away   #CDC #health https://t.co/umq4M3XqzQ"
30,Are you concerned about #zika ? We'll take to the skies to see how local mosquito control works to keep you safe. https://t.co/uGb8cQoqZO
31,Thank you @annabarryjester for citing @APPCPenn surveys on #ZikaVirus #Zika #GMO #GM #mosquitoes https://t.co/X8VmVJWUpA
32,"Join us to discuss controlling, manipulating mosquito vector of #Zika virus w/ @NCState Prof Fred Gould 2/18 https://t.co/yjPbN13ecJ #theRTP"
33,#Mosquito my a**: #ZikaVirus Virus® was #PATENTED by #RockefellerFoundation in 1947…. https://t.co/PmDvqiSHsL https://t.co/a1fgPIGUmU
34,Doral PD #TaskForce continues helping protect our community against #Zika https://t.co/5PsYBsBiQA
35,"Zika’s Rapid Spread Explained in 3 GIFs | TIME  If men will not limit their population, nature will. https://t.co/zWhW85wRvG"
36,Survey: Half of Americans concerned #ZikaVirus will spread to their neighborhoods. https://t.co/o7ApZFOnBC https://t.co/hf1hfhClfw
37,5 Things That You Need To Know About The Newly Worldwide Spread Virus Called “Zika” https://t.co/glPrSh3M3c
38,"Happening now, @HouseDemocrats say we need action on #ZikaVirus now before it's too late https://t.co/VMKh50sRqr"
39,"Well he won't be travelling anywhere then, where there are mosquitos there will be Zika.  Best stay at home in bed. https://t.co/l1aiR2KE4G"
40,@ProudlyLiberal2 Woman owned business pioneers novel #zika protection. You can invest for $100. https://t.co/aOZgAtLqjb
41,How To Protect Your Kids Against Zika If You Live In New York - Romper https://t.co/uZW9k8aBbv
42,"@shaifranklin But Obama has used executive orders around the Constitution, like immigration. Maybe he can pay a ransom to get a Zika cure"
43,@syrupf dangers of our time: Mosquito carrying Zika
44,@NewDay @FLGovScott  https://t.co/q00oXcBdWT 'Obama called Gov. Rick Scott to offer help and say millions more in funding... is on its way.'
45,"Tell the FDA what you fear more: Zika, or GMO mosquitoes?: MIAMI — What are you more afraid of... https://t.co/uVuKPUByPM #st petersburg"
46,"@David_Brody given the reliability of Wikipedia, you never know what your research will uncover... I'm waiting for the giant mosquito #Zika"
47,"@realDonaldTrump Look out for those nasty mosquitoes in Florida.  They will give you the dreaded Zika virus!!!!   Oh, No another mosquito !"
