,tweets
0,Protect Yourself from The Zika and Other Viruses with Mosquito Control https://t.co/TotBkOCmdg https://t.co/Nnf0ugTpr6
1,"We need a 'shock and awe' strategy against Zika not just to protect tourism in Miami, but to protect newborns in th… https://t.co/47MQJVS6sM"
2,#AllAboutZika Zika is far from India but you should kno so that you can stay protected in the future. https://t.co/sxvRlwN37v @goodknightin
3,Doing our part to inform Legislators and staff. Texas Health Officials Combating Zika Virus Ahead of Mosquito Season https://t.co/By2cFatzlp
4,"Rep. @TomColeOK04: Of course, we're going to fund the #Zika fight https://t.co/nm3IMeV6qo https://t.co/3pznstU8a7"
5,"So OMWF, perhaps we can focus on mosquito control, prevention, &amp; maternal health instead of ZOMG ABORTION? #Zika https://t.co/c3kOR8y3ZG"
6,"CDC, Why does your Zika mosquito zone keep getting larger? https://t.co/mBjtLJhSdf"
7,@Zika_News Or...If you have been bitten by a mosquito in a Zika+ outbreak area you should get a test to see if you have Zika+ ?
8,@Independent rip we have a mosquito alert in Jamaica zika-v is on its way
9,This new #mosquito-borne virus #Zika can cause neurological #birth disorders! It has already affected 25 #countries. https://t.co/3zm6G7q5eM
10,People With No Symptoms of Zika Can Still Spread It Sexually https://t.co/itC26T5hqn
11,"They're now saying that Zika, the mosquito borne disease, can be spread by sex. How in the hell do you have sex with mosquitoes?"
12,Why aren’t we using DDT to combat Zika-bearing mosquitoes? https://t.co/zWVkVQewWZ via @LimitGovt
13,There won't be any long term concerns if we act now with #MosquitoWater https://t.co/xjA38CSfR4 https://t.co/CATXU1WKbt
14,@CBoustanyJr #Zika Scientists say $1.9B. Obama crushed Ebola while you were fear mongering about closing borders. https://t.co/GOiWA6HcUp
15,Win bitcoin. Daily drawing. Details: We Have the Technology to Destroy All Zika Mosquitoes https://t.co/uKku5bTABc
16,Protect yourself from #Zika  https://t.co/vUJp7oCXQu https://t.co/5xVKL7GAMB
17,Men need to #StopZika too. You can protect yourself from Zika by using condoms: https://t.co/h8czg57iQ6 #MensHealthMonth
18,It's not Zika - Doctors Say Pesticides Really to Blame for Birth Defects https://t.co/1X2h3Xb02r
19,"With #Zika in the news, it is easy to lose track of a much more severe mosquito-borne infectious disease https://t.co/vqzHHz6ce5"
20,It's just a matter of time for zika mosquitoes to get priced out of Wynwood and move to the Miami suburbs.
21,@MSNBC Ah ha. It's the Republican congress making zika spread. Don't blame Obama!!
22,The Dominican Republic said it has 10 confirmed cases of mosquito-borne Zika virus. The sickness suspected of... https://t.co/q6ZGbwDKTl
23,Predicted The ZiKA myth was not scary enough Now they say it attacks the immune system Is an Autoimmune disease Just about anything..  BULL!
24,FAIL!! @JohnCornyn goes on vacation pin the blame on the spread of Zika virus on Obama. Not his problem! Fund Zika virus prevention programs
25,Headed to a Zika-affected area for spring break: make sure you pack EPA-registered insect repellent! https://t.co/Tt0sivpY6h
26,@BenColeyGolf I read Vijay pulled out of #Rio2016 due to #ZikaVirus concerns. Would Fiji miss out on having a rep all together without him?
27,"Get your Military Scarf , Great tonProtect for Zika Mosquitos too https://t.co/ycREDBAqAD"
28,Protect yourself from #Zika. @Elmo has some tips to avoid #mosquito bites. https://t.co/LcPSCxfRNj
29,@MikeMainsMusic make sure you use mosquito repellent! #zika
30,@Elm3c Not doing anything to eliminate Zika should disqualify him from being a Senator or House Rep or Mayor or Governor.
31,Golfers Say Zika Virus Will Not Put Them Off Their Stroke at Rio Games
32,"You know #Zika as the virus that's transmitted by mosquitoes, but its sexual transmission might be underestimated: https://t.co/J1U9bLZAa8"
33,Does #AirConditioning stop #ZikaVirus infection? Nope. Discourages #mosquitoes!!! Not as well as killing them!!
34,"Just washed the top of the HVAC unit. I now probably have malaria, zika, yellow fever and west nile virus. I hate mosquitoes. 😬🎯⚠❎"
35,Our Clinical #Pharmacist founder directed us to find a #Natural #Zika repellent based on 2016 CDC recommendations https://t.co/4L24TZRN00
36,‘Like it’s been nuked’: Millions of bees dead after South Carolina sprays for Zika mosquitoes https://t.co/SAS5LMYbWB
37,"Thanks, but, I've had my say already:  https://t.co/We9I8KZ58G https://t.co/3TzGXTnXJH"
38,"#PLOSONE: Neuropsychological Impact of West Nile Virus Infection (predict as it is for WNV, so shall it be for ZIKV) https://t.co/9qZpvE6Por"
39,Poisoning our rivers and waterways is a poor way to fight #Zika. Carrier mosquitoes breed in raingutters &amp; potholes. @mdj17
40,"i can treat lassa and zika fever, am in lagos call me on 08108790179 by Dr. Victor, reply with comment"
41,I continue in a moment with my last sequence about '#Climatechange and the #ZikaVirus'. The last tweets about 'The future of #mosquitoes'.
42,"Summer might be ending, but #mosquito season is not. I’m sharing tips #AtoZika to help you prevent bites and #Zika https://t.co/3W094kERq7"
43,#orcot We Don’t Need Billions to Prevent Zika - Controlling mosquitoes and preventing diseases requires smarter... https://t.co/lU12RUo4SA
44,#ZikaVirus @Zika_News nobody is comparing it with #WestNovoVirus or its impact on #Agriculture #Farming #Birding #Equine protect nature also
45,Timeline of how Zika spread since its origin 70 years ago - Florida Trend https://t.co/CmucPzjlsf
46,I'll probably be the first on my twitter stream to get Zika. Mosquitos love me
47,@BarackObama I JUST SAW SOME GUY SPRAY SOMETHING ON THE NEWS ON CNN AFTER THEY WERE TALKING ABOUT THE ZIKA VIRUS WHAT WAS THAT
48,#Zika is not the only thing you can catch from a mosquito. There’s also #Chikungunya. https://t.co/aktpCwDZX9 https://t.co/yQO1zPTkwp
49,"Know how to protect yourself from Zika. With proper precautions, Zika is not expected to pose a health risk. More, https://t.co/O7YY7AcKNL"
50,"Now You See-um, Now You Don't! #noseeum #mosquito #bmrtg #zika #bug #repellent #florida https://t.co/PQTNpnSTHS https://t.co/AoNNWwweS0"
51,@_stormqueen you need to remind me sometimes bc i retweet a lot of articles abt zika w mosquitos on the front
52,"@SenBillNelson Thank you Senator Nelson for speaking eloquently on Zika, history of disease transmission by mosquitoes, response by Congress"
53,.@mosquitosteve1 tells us what we need to know about the Zika virus and mosquitoes #GordonDeal #ZIKA #MosquitoSteve https://t.co/Ko5r2uRD85
54,"How Zika Can Save the Olympics: The Zika virus may be deadly serious, but is it really a potent enough reason... https://t.co/MDS5DsZR8w"
