,tweets
0,"@Halt_Zika Yup. It's axiomatic, really. If fraction of drop of fluid to/from mosquito carries Zika, blood pint at LEAST as likely to do it."
1,Well well well... https://t.co/2kIFoGRg3M  'Zika caused by GMO mosquitoes' aka 'they manufactured it' aka 'no black babies for a yr' ... Yup
2,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life: Sen. Marco Rubio should be f—– for his pro-li...
3,Zika virus found in Miami Beach mosquitoes https://t.co/a02vNDQ9jC  Noooooo  @szeliu @grantstern @sarahelles @852cmd  @annush1  Be- Safe
4,NASA map of Zika's potential spread shows Florida as hot spot - WJXT Jacksonville: WJXT JacksonvilleNASA map ... https://t.co/HRyuPeoi1x
5,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life – https://t.co/BBAiMV3r79 https://t.co/tG4ZDwk14c
6,"With the bugs out, mosquitos with Zika, the three ticks I found on myself (in one day!!!, Yup!!!!)......I am... https://t.co/1GrOD7V4lH"
7,#how #zika #spread https://t.co/05yupeJcz7
8,.@SenatorShaheen calls for a comprehensive evaluation of the potential for the Olympics to spread #ZikaVirus  https://t.co/HSrkLYupdw
9,"Zika Freaka 2: Spraying Plane Cabins, Robot Reporters NOOOOOOOOOOOO !!!. https://t.co/m2MgAR9sp7 #news via @activistpost"
10,@sadako1tam @IHWCo yup yup .. Now it's the perfect time to talk also about global warming and zika  virus ?!
11,Yup. That'll stop  the spread of the Zika virus. Good job. #FFS #Catholic #atheism  https://t.co/p4lKnl4UIg
12,Arm yourself to protect yourself from #Zika  https://t.co/oSBVz6yuPo
13,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life life/#.V6ywS74gfJ0.twitter
14,"Yup, they are worse than Zika because not let Bubba Ray turn heel.. - @MichaelArmike https://t.co/9qVk4pQ8TR"
15,Florida May Have Its First Case of Zika from Local Mosquitoes - WIRED noooooooo! https://t.co/AZJHZ1OUM2
16,Zika Tracker: N.J. tops 50 cases of mosquito-borne disease https://t.co/k3YuPPCCd1
17,"Oh we're gonna stop Zika, let me tell you. And who's going to pay for it? That's right. The mosquitoes are gonna pay for it."
18,Noooooooo.....apparently the FL mosquitos now have Zika. If this bug bite I got this morning was a mosquito bite...
19,Prevent Zika by avoiding mosquito bites https://t.co/8XsYUpMjpj #MedicalMoment
20,Zika found in mosquitoes in Miami Beach https://t.co/kTg8yuPDIt
21,.@Seeker NOOOOOO!!! use @WCGrid's #OpenZika project to fight #ZikaVirus! this is insane! #BOINC #distributed #cure #noveldrugs
22,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/kN4HECg8SB https://t.co/iKglHDSBhN
23,Yuppppp with the hundreds of mosquito bites I have on my legs from tonight there's a 90% chance I have zika 🙄🙄🙄
24,Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Being Pro-Life https://t.co/0PyWuhYwjz
25,@Ann_OLeary @HillaryClinton So now you want us to fund Puerto Rico using the ZIKA virus as an excuse. Our Children say NNOOOOOOOO
26,Donald Trump's gonna stop that Zika virus! Those damn mosquitos 😂😂😂https://t.co/OisjH9hicv
27,"Economics professor opened class with, 'Do y'all think we give mosquitos zika? Or do they actually give us zika?'"
28,#Abortion #ProLife Comedy Central Host: “Marco Rubio Should be F—–” by a Zika Mosquito for Be... https://t.co/EoF18vAN8x Via @LifeNewsHQ
29,This animated map traces the shocking spread of Zika and where it could hit next https://t.co/T4mJPKxd7Y noooooooo
30,Yup @hemakumar07 - Zika-transmitting mosquitoes only bite during the day. Good to know! https://t.co/TbvVGK2aDo
31,'#Zika Tool'  '#Mosquito Spray?'  'Nope. A Map'  'A Map?'  'Yup: A #NYC interactive map: https://t.co/Ar3MDCXuNZ' https://t.co/adDxq6cQJR
32,#ComedyCentral Host: “Marco #Rubio Should be F—–” by a Zika Mosquito for Being #ProLife https://t.co/UIF6b38Lc5 #ComedyOrSICKNESS? #Sickos
33,Obama &amp;Co stole funds to combat Zika to pay for UN climate change fund #ClimateHoax #TrumpTrain #Trump2016  https://t.co/HcRXyuPH4G
