,tweets
0,The Best Bug Sprays to Protect You from Zika this Summer https://t.co/1dOcUeoY9S
1,@gwendolbowling @DuckyFoo @MackayIM Will YF vaccine give some protection against #Zika since they're both Flaviviruses? Or do we know yet?
2,"Here's @viaSimonRomero on covering Zika, and forgetting his mosquito repellent  https://t.co/8sZcJ61jv8"
3,Chinese Scientists Can Eliminate Zika Virus With Its NS1 Protein https://t.co/uy0cPv2X8q https://t.co/s05wyYxIBm
4,@nytimes Maybe because they were afraid there might be mosquitoes hiding in the flowers carrying Zika. #Plausible
5,Mosquitoes that carry the ZikaVirus are already in Hawaii as this graphic shows. So our homestead there is worrysome https://t.co/8ReXjCj40D
6,"Pray for those affected by Zika virus, especially pregnant women &amp; babies with microcephaly pray for the doctors treating them &amp; for the WHO"
7,Tips to protect yourself from Zika virus https://t.co/72maghSB0U
8,@cnnbrk looks like an occupying force...How dangerous is it over there? is this to protect them from Zika?
9,Mosquito coils actually KILLS mosquitos instead of just repelling them. #Zika https://t.co/CjrvQMhmTF
10,You think republicans would worry more about mosquito transmitted zika if we told them tiny mexican mosques were giving it to us?
11,@SkyNews @Gidi_Traffic @vanguardngrnews What is Nigeria doing about #ZikaVirus? It's mode of transmitt via mosquitoes is familiar to us.
12,@StephanieAWood1  Are you still alive? I'd be worried. There are lots of other mosquito carrying diseases? Zika?
13,Zika virus essential info you must know to protect yourself https://t.co/GLZ7YFtAQU @novapbs
14,#omg I hope I didn't hear a mosquito #ZikaVirus
15,LAST THING...  David Rockefeller Owns the Patent to the ZIKA virus. Nigga had his 6th Transplant. White Ppl are the devils.  Say Ya Prayers!
16,Basic steps #pregnant women can take to protect themselves against #Zika virus. #AtoZika https://t.co/JiDBQYGo7X https://t.co/oe6hZsu3Uu
17,Why WHO backs Genetically Modified mosquitoes &amp; bacteria to fight Zika virus. Do we have enogh evidence. https://t.co/gMcdlBEv6h
18,@icky_sg I hope no more spread of Zika concerning areas...
19,More US Women Are Getting Zika?Here&amp;#8217;s How to Protect Yourself https://t.co/mHPuTg4wol https://t.co/lCa4ALPExo
20,@FoxNews Bring more Jihadi's so that they will eat all these Mosquitoes n other Rodents etc. instead fighting Zika..
21,Clinical Pharmacist founder directed us to create an All Natural nontoxic Zika repellent https://t.co/4O1DfPNzp3 https://t.co/X8o9ZOjEmK
22,"@Coach_Toni your concerns regarding zika, we have the solution at hand, contact me under erich@alogt.com, we can protect Jessica in Brazil"
23,...Is anyone else finding the lack of concern intl for the spread of Zika Virus a bit disconcerting??? It's likely to cause microcephaly...
24,Niggas scared of Zika and I haven't seen a mosquito in three years
25,"I rarely get bit by mosquitos, but now? Now I have zika"
26,#WakeUp - We're all in danger.  Pesticides Sprayed to Fight #Zika May Be More Harmful Than Zika Itself.  https://t.co/nr2fAUuAhE
27,I think a NEW event this year in the Brazilian Olympics should be  RUNNING from ZIKA-INFECTED MOSQUITOS !!   (I'll be watching on TV !! )
28,Google says it is developing automated mosquito farms to battle Zika | @scoopit https://t.co/fffj55Ksmy
29,Because I get bitten by mosquitoes all the time I have: 1 Been exposed to the Zika virus; 2 Will be exposed to the Zika virus; 3 already had
30,Learn more about Zika virus... contact us for your and family protection ... https://t.co/u0UoHn0ZX1 https://t.co/aop6NQv7bp
31,"i say teach the zika babies how to catch butterflies with a net, then when they get better at it..."
32,Barack Obama - founder of ISIS? How does he even manage his day jobs of being the inventor of Zika and a spy for Putin?
33,What You Should Know About the Zika Virus - Disease experts say the virus could reach as far as the U.S. Gulf C... https://t.co/6Ym8S6QJmE
34,"@sadwichemporium what if a mosquito bites you and you get malaria, West Nile virus or Zika virus"
35,How paint could protect you from Zika (seriously) - https://t.co/KH1PcA0cJu... https://t.co/Pl3ZVz9agV
36,"As Zika spreads around the world, how much have we learned about the mosquito-borne virus? https://t.co/VX67uB7bSW https://t.co/57jNp1xoCH'"
37,Zika Virus: Two Cases Suggest It Could Be Spread Through Sex https://t.co/00uiOu5ed2
38,Wired: Zika Isn’t the Mosquito-Borne Virus You Should Fear https://t.co/hN2p4av9Tg #Science https://t.co/6qbwYi3sVg
39,"Wait, are they replacing AIDS with Zika? Also, Americans are getting sprayed. Capitalism what have you done?"
40,"US athletes should consider not attending Olympics if fear Zika, officials say https://t.co/tcgSNyvNlC"
41,"“The journey in our fight against Zika is likely to be a long one, because of the presence of Aedes mosquitos... https://t.co/iXW0luKyQC"
42,#jobs #jobsearch # #WHO boss: Zika result of 'massive' mosquito control failures:              #(CNN)World He... https://t.co/g6qOWQwYQo
43,Stopping Zika: The GMO mosquito that kills his own offspring https://t.co/920YPAxUnN
