,key,press_time,release_time,hold_time
0,K,1555490181.5137432,1555490181.5853655,0.07162237167358398
1,Key.shift,1555490181.3795335,1555490181.6017,0.2221665382385254
2,e,1555490181.8018074,1555490181.9054222,0.10361480712890625
3,y,1555490181.9296777,1555490181.9933777,0.06369996070861816
4,s,1555490182.105747,1555490182.1773913,0.07164430618286133
5,t,1555490182.361805,1555490182.48167,0.11986494064331055
6,r,1555490182.441758,1555490182.5294292,0.08767127990722656
7,o,1555490183.2257936,1555490183.3294628,0.1036691665649414
8,k,1555490183.3535004,1555490183.4094424,0.05594205856323242
9,e,1555490183.4897711,1555490183.553288,0.06351685523986816
10,Key.space,1555490183.6177073,1555490183.7053492,0.08764195442199707
11,d,1555490184.0977485,1555490184.1615672,0.06381869316101074
12,y,1555490184.1937938,1555490184.2574463,0.06365251541137695
13,n,1555490184.4737334,1555490184.537348,0.0636146068572998
14,a,1555490185.1458988,1555490185.2254856,0.07958674430847168
15,m,1555490185.273841,1555490185.3295717,0.05573081970214844
16,i,1555490185.4497323,1555490185.52147,0.07173776626586914
17,c,1555490185.5777378,1555490185.680698,0.10296010971069336
18,s,1555490185.6417515,1555490185.736547,0.09479546546936035
19,Key.space,1555490185.769126,1555490185.848602,0.07947611808776855
20,i,1555490185.9767945,1555490186.040713,0.0639185905456543
21,s,1555490186.0421016,1555490186.1046495,0.06254792213439941
22,Key.space,1555490186.1367671,1555490186.20859,0.0718228816986084
23,t,1555490186.2887588,1555490186.3849716,0.09621286392211914
24,h,1555490186.4190128,1555490186.4816606,0.06264781951904297
25,e,1555490186.5207582,1555490186.5846152,0.0638570785522461
26,Key.space,1555490186.624772,1555490186.7045667,0.07979464530944824
27,d,1555490186.7927332,1555490186.8726184,0.07988524436950684
28,t,1555490187.184757,1555490187.241839,0.05708193778991699
29,u,1555490187.2977102,1555490187.3614287,0.06371855735778809
30,y,1555490187.5526001,1555490187.6011581,0.04855799674987793
31,Key.space,1555490188.07273,1555490188.1371536,0.0644235610961914
32,o,1555490188.2496655,1555490188.3294203,0.07975482940673828
33,f,1555490188.353468,1555490188.4172616,0.06379365921020508
34,Key.space,1555490188.4183588,1555490188.4965518,0.07819294929504395
35,w,1555490189.897734,1555490189.9853542,0.08762025833129883
36,h,1555490190.1216688,1555490190.1853702,0.06370139122009277
37,e,1555490190.249632,1555490190.3453975,0.09576559066772461
38,t,1555490190.657816,1555490190.7532322,0.09541630744934082
39,h,1555490190.7954328,1555490190.865474,0.07004117965698242
40,e,1555490190.8677876,1555490190.9766245,0.10883688926696777
41,r,1555490190.9779754,1555490191.049865,0.07188963890075684
42,Key.space,1555490191.0247593,1555490191.0965815,0.0718221664428711
43,p,1555490191.2247314,1555490191.3125942,0.08786273002624512
44,e,1555490191.3687015,1555490191.4486017,0.07990026473999023
45,o,1555490191.4647825,1555490191.5286276,0.06384515762329102
46,p,1555490191.6656659,1555490191.7936163,0.12795042991638184
47,l,1555490191.7776947,1555490191.8574011,0.07970643043518066
48,e,1555490191.8737242,1555490191.9525814,0.0788571834564209
49,Key.space,1555490191.9686735,1555490192.0565825,0.08790898323059082
50,c,1555490192.144786,1555490192.2565815,0.11179566383361816
51,a,1555490192.257927,1555490192.3125916,0.05466461181640625
52,n,1555490192.3290472,1555490192.4245622,0.09551501274108887
53,Key.space,1555490192.464732,1555490192.5606706,0.09593868255615234
54,b,1555490192.729663,1555490192.793823,0.06416010856628418
55,e,1555490192.8409207,1555490192.9045491,0.0636284351348877
56,Key.space,1555490192.9206724,1555490193.0165267,0.09585428237915039
57,d,1555490193.2088032,1555490193.2806985,0.07189536094665527
58,i,1555490193.3608663,1555490193.384815,0.02394866943359375
59,s,1555490193.4887562,1555490193.5693722,0.08061599731445312
60,t,1555490194.001783,1555490194.057422,0.055639028549194336
61,i,1555490194.1207395,1555490194.1766672,0.05592775344848633
62,g,1555490194.2327633,1555490194.3126805,0.07991719245910645
63,u,1555490195.2176971,1555490195.2752512,0.057554006576538086
64,i,1555490195.425627,1555490195.4822295,0.05660247802734375
65,s,1555490195.5375662,1555490195.601553,0.06398677825927734
66,h,1555490195.6448479,1555490195.6966696,0.05182170867919922
67,e,1555490195.7687097,1555490195.8486032,0.07989358901977539
68,d,1555490195.9927506,1555490196.0487635,0.056012868881225586
69,Key.space,1555490196.080878,1555490196.1606636,0.07978558540344238
70,b,1555490196.312754,1555490196.360747,0.04799318313598633
71,y,1555490196.4817848,1555490196.5459385,0.06415367126464844
72,Key.space,1555490196.592748,1555490196.6566262,0.06387829780578613
73,t,1555490196.7287698,1555490196.800705,0.07193517684936523
74,h,1555490196.8332891,1555490196.8888,0.055510759353637695
75,e,1555490196.9608223,1555490197.0327098,0.07188749313354492
76,i,1555490197.072789,1555490197.1365764,0.06378746032714844
77,r,1555490197.19275,1555490197.2727687,0.08001875877380371
78,Key.space,1555490197.2740586,1555490197.3453226,0.07126402854919434
79,t,1555490197.480798,1555490197.5524902,0.07169222831726074
80,y,1555490197.6887507,1555490197.7526014,0.06385064125061035
81,p,1555490197.7768078,1555490197.840829,0.06402111053466797
